|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
14147|2011-10-04|('47.416', '8.561')|#tedxzh|28|False|7|146.92296729151562
1742|2011-02-08|('47.374', '8.525')|#pokert|11|False|5|100.86757201638775
1368|2011-02-02|('46.220', '6.138')|#lift11|6|False|4|229.15169238956108
10386|2011-07-31|('46.897', '7.408')|#erugf|9|False|3|202.53423865062607
12579|2011-09-09|('47.377', '8.537')|#fec11|7|False|3|166.59708414828881
1458|2011-02-03|('46.220', '6.138')|#lift11|6|False|3|146.27051486379105
1529|2011-02-04|('46.220', '6.138')|#lift11|10|False|3|144.65294900400602
3574|2011-03-31|('47.365', '8.539')|#bosw|32|False|3|69.40073274438745
3173|2011-03-24|('47.365', '8.540')|#smmk11|16|False|2|102.73567080403745
14166|2011-10-04|('47.421', '8.561')|#tedxzh|14|False|2|99.05978207713797
2102|2011-02-19|('47.530', '7.588')|#scs11|7|False|2|72.73898962898026
3600|2011-03-31|('47.365', '8.539')|#migipedia|5|False|2|62.165604459200516
11629|2011-08-24|('47.411', '8.553')|#xf11|6|False|2|48.11675711033334
2679|2011-03-09|('47.365', '8.524')|#gch|16|False|2|35.1400934943254
18867|2011-12-11|('47.377', '8.537')|#tatort|5|False|2|29.313776814172396
6821|2011-06-01|('47.365', '8.548')|#smgzh|5|False|2|23.25996226231772
8106|2011-06-21|('47.374', '8.525')|#pokert|6|False|2|12.05866607337378
16901|2011-11-16|('47.371', '8.536')|#dmd2011|6|False|2|6.14703895895923
2818|2011-03-13|('47.176', '8.899')|#tamacho|6|True|1|631.8702562130366
1250|2011-01-31|('47.388', '8.618')|#jan25|5|True|1|435.20216137637306
1184|2011-01-30|('47.388', '8.618')|#jan25|27|True|1|350.60537694635775
1187|2011-01-30|('47.388', '8.618')|#egypt|16|True|1|292.0798048407889
16717|2011-11-15|('47.377', '8.537')|#pokert|6|True|1|281.3774293076213
7898|2011-06-18|('47.226', '8.819')|#zvilla|27|True|1|227.32493804786728
19960|2011-12-28|('47.377', '8.537')|#starwars|5|True|1|216.58738523848623
7633|2011-06-15|('46.005', '8.957')|#11icml|14|True|1|213.11488506463152
15729|2011-10-29|('46.005', '8.956')|#uxcon11|5|True|1|203.75360119516907
16274|2011-11-08|('47.429', '8.574')|#fraport|5|True|1|201.25972594855855
10418|2011-07-31|('46.954', '7.395')|#erugf|5|True|1|199.0607440512122
16275|2011-11-08|('47.429', '8.574')|#fluglärm|5|True|1|198.92251981334059
16273|2011-11-08|('47.429', '8.574')|#cdu|6|True|1|196.4433210752194
6987|2011-06-04|('47.560', '7.613')|#rhok|5|True|1|193.43516358488475
9483|2011-07-16|('47.499', '8.729')|#osx|5|True|1|190.5296297750621
11745|2011-08-25|('45.923', '6.872')|#utmb2011|5|True|1|185.25642331044224
1097|2011-01-28|('47.377', '8.537')|#jan25|5|True|1|177.12693395792
5711|2011-05-15|('45.780', '10.338')|#zaragozanoserinde|24|True|1|175.24754693818423
4952|2011-05-02|('47.562', '7.599')|#chtd|9|True|1|168.17316921033998
1516|2011-02-04|('46.232', '6.079')|#lift11|10|True|1|157.22614625648836
5716|2011-05-15|('45.780', '10.338')|#realzaragoza|12|True|1|151.05359737681982
12766|2011-09-11|('47.500', '8.750')|#osx|5|True|1|142.62815656259616
7797|2011-06-17|('46.005', '8.957')|#11icml|33|True|1|133.8491722066981
11031|2011-08-12|('47.226', '8.819')|#fb|6|True|1|124.26804201174204
16120|2011-11-05|('45.803', '9.095')|#tedxcomo|12|True|1|120.38615979063295
17990|2011-12-01|('46.854', '9.514')|#imkforum|12|True|1|119.77579611455958
8780|2011-07-02|('47.423', '9.322')|#oasg|11|True|1|107.9577986325356
15528|2011-10-26|('46.501', '6.232')|#stepstosurviveahorrormovie|5|True|1|102.79604618423377
7700|2011-06-16|('45.705', '8.458')|#screwby|5|True|1|96.073656581234
7706|2011-06-16|('46.005', '8.957')|#11icml|35|True|1|91.07211056078292
12688|2011-09-10|('47.375', '8.528')|#denkfest|6|True|1|89.83566924744203
16951|2011-11-17|('45.926', '6.157')|#iae|7|True|1|87.52116407474098
10383|2011-07-31|('46.897', '7.408')|#chch|5|True|1|86.62623633878032
1001|2011-01-26|('47.302', '8.553')|#gdi|14|True|1|84.59714036467079
2483|2011-03-02|('47.378', '8.530')|#fcz|5|True|1|84.57976682135956
9493|2011-07-16|('47.377', '8.537')|#tdf|10|True|1|80.74830065291367
7431|2011-06-11|('47.434', '9.406')|#scbrühl|5|True|1|77.46047622999608
10021|2011-07-24|('47.377', '8.537')|#sonntagsprojekt|7|True|1|70.57023013248845
9008|2011-07-06|('47.387', '8.500')|#dtzh|15|True|1|69.26172088713153
5704|2011-05-15|('47.424', '9.363')|#marktplatzsg|5|True|1|69.16098643342534
16994|2011-11-17|('46.854', '9.514')|#igep|6|True|1|68.16274280112883
9883|2011-07-22|('47.377', '8.537')|#tdf|14|True|1|64.48366283105238
9361|2011-07-14|('47.377', '8.537')|#tdf|5|True|1|52.32515902189564
3056|2011-03-20|('46.950', '7.471')|#dgst|7|True|1|48.99557780035796
8269|2011-06-24|('46.939', '7.443')|#odch11|9|True|1|47.06802274827462
15988|2011-11-03|('46.809', '9.646')|#igep|5|True|1|44.18642752902499
18103|2011-12-02|('45.938', '6.119')|#workncoffee|23|True|1|42.92756291038322
13144|2011-09-17|('47.408', '8.724')|#supertalent|11|True|1|41.32581082128614
3036|2011-03-20|('46.518', '6.568')|#swlau|9|True|1|35.54057844280786
16831|2011-11-16|('45.919', '6.158')|#iae|19|True|1|35.45357643272889
16830|2011-11-16|('45.919', '6.158')|#annecy|9|True|1|35.19714270498871
9262|2011-07-12|('46.170', '8.795')|#moonandstars|9|True|1|35.06306027943257
1130|2011-01-28|('47.388', '8.618')|#jan25|5|True|1|32.20245090741455
6356|2011-05-24|('47.377', '8.537')|#wppk|5|True|1|31.6103850727011
14841|2011-10-15|('46.836', '7.658')|#ows|6|True|1|29.809902991422618
18474|2011-12-06|('47.377', '8.537')|#openkitchen|7|True|1|29.324533891979584
16813|2011-11-16|('47.398', '8.492')|#reach|8|True|1|28.267049842012753
2897|2011-03-16|('46.794', '7.154')|#vögele|6|True|1|27.900537076117416
14302|2011-10-05|('46.771', '8.423')|#titlis|6|True|1|27.612944271808917
16156|2011-11-05|('47.481', '8.696')|#wettendass|5|True|1|27.413009887845426
11632|2011-08-24|('47.411', '8.553')|#emex11|5|True|1|26.728144550475438
4562|2011-04-23|('46.264', '6.162')|#thelionking|6|True|1|24.054820523797275
18868|2011-12-11|('47.408', '8.724')|#cssa|5|True|1|22.962044527630567
9915|2011-07-22|('47.370', '8.549')|#awesomezh1|6|True|1|22.90891535576872
17113|2011-11-18|('45.919', '6.158')|#pirtage|8|True|1|21.69288387784114
3385|2011-03-27|('47.790', '7.350')|#fb|6|True|1|20.550073781069678
16834|2011-11-16|('45.919', '6.158')|#73|5|True|1|19.536412157814492
16837|2011-11-16|('45.919', '6.158')|#74|5|True|1|19.536412157814492
16431|2011-11-10|('47.392', '8.519')|#oja|17|True|1|19.35518561790941
4993|2011-05-03|('47.562', '7.599')|#chtd|5|True|1|18.907636317401277
2899|2011-03-16|('46.794', '7.154')|#maeder|6|True|1|17.939204816391513
13187|2011-09-18|('47.481', '8.696')|#fdp|5|True|1|17.06348147360321
17718|2011-11-27|('46.205', '6.137')|#tedxrc2|6|True|1|16.35407885090837
13980|2011-10-02|('47.383', '8.504')|#gc|5|True|1|15.274100810049525
13981|2011-10-02|('47.383', '8.504')|#fcz|5|True|1|15.274100810049525
13982|2011-10-02|('47.383', '8.504')|#letzigrund|5|True|1|15.274100810049525
15343|2011-10-23|('47.408', '8.724')|#ew11|6|True|1|15.267396725630004
13994|2011-10-02|('47.382', '8.504')|#gc|5|True|1|15.021869243058786
13995|2011-10-02|('47.382', '8.504')|#fcz|5|True|1|15.021869243058786
13996|2011-10-02|('47.382', '8.504')|#letzigrund|5|True|1|15.021869243058786
13487|2011-09-24|('47.408', '8.724')|#missch|5|True|1|14.679216600350307
6368|2011-05-24|('47.424', '9.363')|#windowsphone|5|True|1|14.454437995915919
7282|2011-06-09|('47.744', '8.949')|#magento|6|True|1|14.047376023590578
7283|2011-06-09|('47.744', '8.949')|#performance|6|True|1|14.047376023590578
3579|2011-03-31|('47.361', '8.546')|#bosw|5|True|1|13.575617031198904
3530|2011-03-31|('47.389', '8.519')|#som11|9|True|1|13.195734699747414
3531|2011-03-31|('47.389', '8.519')|#podium|9|True|1|13.195734699747414
17950|2011-11-30|('46.209', '6.139')|#mdw11|7|True|1|13.177990050410097
7739|2011-06-16|('46.005', '8.958')|#11icml|13|True|1|12.99284737231361
16230|2011-11-07|('47.368', '8.541')|#marketagent|7|True|1|12.943228997075972
18573|2011-12-07|('45.919', '6.158')|#devdurable|8|True|1|12.027993246081316
6602|2011-05-27|('47.144', '8.896')|#velo|8|True|1|11.97914692027358
6603|2011-05-27|('47.144', '8.896')|#heimfahrt|8|True|1|11.97914692027358
18465|2011-12-06|('47.377', '8.531')|#dataquovadis|8|True|1|11.928621625690408
11637|2011-08-24|('47.426', '8.650')|#emex11|6|True|1|11.892229865455826
11638|2011-08-24|('47.426', '8.650')|#xf11|6|True|1|11.892229865455826
18571|2011-12-07|('45.919', '6.158')|#iae|7|True|1|11.73972846746448
10557|2011-08-02|('47.500', '8.750')|#android|5|True|1|11.672850741975775
18572|2011-12-07|('45.919', '6.158')|#icare|7|True|1|10.942526622717848
18575|2011-12-07|('45.919', '6.158')|#conference|7|True|1|10.942526622717848
17096|2011-11-18|('45.919', '6.158')|#iae|8|True|1|10.296486514758838
13750|2011-09-29|('47.416', '8.555')|#innolab|10|True|1|10.078296951590803
17850|2011-11-29|('45.744', '7.317')|#chiambretti|7|True|1|9.513627295011615
12429|2011-09-07|('47.365', '8.547')|#smgzh|5|True|1|8.892216321655196
17849|2011-11-29|('45.744', '7.317')|#univda|6|True|1|6.617268374544041
1638|2011-02-06|('45.943', '6.138')|#annecy2018|5|True|1|6.212644811636631
19807|2011-12-23|('45.736', '7.319')|#rollandin|6|True|1|5.6002893443768365
19700|2011-12-20|('45.736', '7.319')|#rollandin|7|True|1|3.942189959654931
20017|2011-12-30|('46.488', '6.563')|#ff|7|True|1|3.6005731466152695
6237|2011-05-22|('47.366', '8.556')|#20peopleilove|5|True|1|3.3042497887821174
19257|2011-12-15|('46.519', '6.634')|#intouchables|9|True|1|2.0945844338716175
4665|2011-04-25|('46.264', '6.162')|#gohome|6|True|1|1.724308771867945
19291|2011-12-15|('46.109', '7.122')|#gklol|5|True|1|1.3561219217558083
13006|2011-09-15|('47.420', '8.596')|#portongm11|9|True|1|1.2586272924022022
14657|2011-10-11|('47.285', '7.947')|#twothingsthatdontmix|5|True|1|0.4893306085301066
